date,Rockbound Tax-Efficient 2035,Vanguard 2035,S&P 500
2026-06-02,14165.43388088918,12489.855700807106,12782.621399494192
2026-06-03,13992.4541700961,12414.616273819789,12688.591072103734
2026-06-04,14024.79568866673,12443.876183860317,12742.236268798628
2026-06-05,13349.081797250738,12176.355297905322,12407.034545034097
2026-06-08,13475.691958370588,12197.255803129092,12444.486045803109
2026-06-09,13376.909819488501,12209.795308990602,12412.860692956292
2026-06-10,13108.451052672774,12071.855163604729,12212.094983243229
2026-06-11,13486.612943447486,12285.035533250672,12426.188299984964
2026-06-12,13558.560740927382,12331.015847470215,12489.23197774084
2026-06-15,13777.43586579581,12464.775891811334,12698.581271313064
2026-06-16,13688.96854582639,12422.975678636545,12626.788093691168
2026-06-17,13542.171149827664,12339.37604955972,12473.556585800983
2026-06-18,13688.35536084644,12448.05628490507,12609.017461558526
2026-06-19,13688.35536084644,,
2026-06-22,13646.567602287323,12427.155779681298,12563.008806028785
2026-06-23,13342.61705057276,12259.955724254896,12382.70655992249
2026-06-24,13285.301351183143,12272.496027389157,12370.61084253765
2026-06-25,13332.40034023772,12305.936038474436,12369.950115076716
2026-06-26,13307.009011272521,12285.035533250666,12364.430838353042
2026-06-29,13421.230100399744,12372.816060644998,12509.785006625641
2026-06-30,13470.553879567442,12418.795577591785,12610.092244894977
